PC1,PC2,PC3,PC4,PC5
-0.576092524,0.319392929,0.387290866,-0.378009462,-0.243780422
0.970667357,1.018039244,-0.83415586,0.107423411,0.286070404
0.325886789,0.874208567,-0.246015217,0.863031441,0.069109508
-0.852035242,0.690862538,0.013390104,-0.110256711,-0.554050141
0.064755545,0.222967781,-0.638601229,0.140432217,0.135854126
0.608316875,0.89889651,-0.817682045,0.27071098,0.488944807
0.157483884,0.395668203,0.231787378,-0.170913956,-0.200449829
0.606290256,-0.047286859,0.010420378,-0.253735938,-0.664263472
0.383374849,-0.073553818,0.038443244,-0.267693507,-0.533764838
0.183578368,-1.011675679,-0.08379315,-0.31212875,0.019066843
-1.11602228,-0.465767953,-0.177697998,-0.282765411,0.314286318
0.108916003,-0.26262607,-0.028526704,-0.332854998,-0.396414111
0.941128865,0.229138516,0.163983559,-0.699324421,-0.201672076
-0.423280544,0.053140138,-0.015598162,-0.127669259,0.032706285
-0.051611973,0.192796822,0.00097264,-0.411552279,-0.479522847
-0.492694024,0.480941437,0.202173851,-0.19787351,0.483870216
-0.956235385,0.403362824,0.115095734,0.067842648,0.052526595
0.269287025,0.921046292,0.328286259,-0.404075101,-0.063711297
-0.487099839,-0.212109844,0.246341136,0.02722518,0.66468805
1.348751836,0.644434951,-0.240059938,0.162441192,-0.389929312
-0.232740531,0.845217906,0.591115308,0.065460195,0.097019976
-1.066519,1.36442652,-0.005636709,0.254414394,0.259620991
-1.592643177,1.196254724,-0.201592168,0.14835233,-0.336476174
-0.836641881,-0.096731992,-0.183768706,-0.024961321,0.527262224
-1.272498089,0.626838658,-0.043148664,-0.599068923,0.509748407
-1.117107419,-0.541150163,0.392820882,0.03230562,0.512079784
0.914683873,0.135311353,-0.071456297,-0.364710685,0.045732251
0.339847189,-0.437564234,-0.319132813,0.021548126,0.407581687
0.672958335,0.562740299,0.258551213,-0.394819707,-0.136229552
0.338615313,-0.093153975,-0.704519937,-0.207095922,-0.091743533
0.089723201,-0.424720124,-0.051165142,0.011288086,0.150995597
0.293728912,-0.269542651,-0.418838474,-0.412975675,0.332951007
0.126586231,0.494373763,0.042484952,-0.229762071,-0.226364182
0.127275896,0.286608975,0.458366181,-0.10664995,0.158430151
0.234673466,0.365208632,-0.314270619,-0.099119556,0.269138359
0.153990286,-0.286889756,-0.203525031,-0.60851824,-0.294244759
-0.669558995,-0.195435668,0.656675834,-0.371959826,0.301542134
-0.712188714,-0.810713556,0.248268317,-0.293498066,0.330880258
-0.706543188,-0.686030258,-0.456476787,-0.392669358,0.306515599
-0.823960599,-0.222633438,0.173414138,-0.455262884,0.15383204
-0.716167922,-0.559470502,-0.245619398,-0.013986408,0.512784355
-0.768156316,-0.122702373,-0.099052116,-0.213327774,0.556196265
-0.993431829,0.121170118,0.661387787,0.032510832,0.715286561
-0.70122901,0.345993644,0.723400603,0.175677665,0.77575879
-1.094330555,0.702734239,0.315065583,0.349320466,-0.357396026
0.062616317,0.40179455,0.888858966,-0.104227746,0.003487468
0.55869595,0.821966374,0.681395431,-0.049912764,0.118284573
-0.611610767,0.176268039,0.574644111,-0.082367309,-0.217696341
-0.132884135,-0.197031274,0.507587443,-0.264794071,-0.105472177
-0.210023332,-0.249497588,0.592219134,-0.128940355,-0.02413026
-1.533880274,0.405175668,0.117100202,-0.25916471,0.178754825
-0.374620666,0.022334409,0.01462363,-0.536842838,-0.081183308
0.199791732,-0.727556988,-0.179844653,-0.252411657,-0.187347298
-0.0505607,-0.687592029,-0.094277952,-0.125502298,-0.066932812
-0.123640323,-0.646286224,-0.200304127,-0.047470104,-0.019940646
-0.114103155,-0.741434792,-0.07960625,0.056389078,0.008265475
-0.044058006,-0.794294542,-0.161199496,-0.008847659,-0.092970258
-0.688242806,-0.331375894,0.477580127,-0.297318356,0.144132687
-0.390436321,-0.696970164,0.523552479,-0.306052069,0.268318483
-0.305125156,-0.684252586,0.396862001,-0.408219548,0.128384756
-0.226266343,-0.684971481,0.537452291,-0.310287662,0.165445745
-0.124513454,-0.597206835,0.526798147,-0.294530141,0.168602908
-0.550336988,-0.523270634,0.690324577,-0.226915594,0.360634139
-0.600507436,-0.199432567,0.114303032,-0.161508109,0.278200979
-1.613132035,1.064936545,-0.162765592,-0.623625346,-0.017850519
-1.627459828,0.835222245,-0.211965061,-0.527465774,0.019936723
-1.704800805,0.654489023,-0.207921553,-0.244983452,0.212038714
-1.662707047,0.86106694,-0.171941756,-0.392252884,0.050419932
-1.052233433,-0.227696802,-0.233771315,-0.015674122,0.498061662
-0.314643708,-0.657308154,-0.729566578,-0.647613227,-0.158205616
-0.266036299,-0.627157309,-0.568994048,-0.697713464,-0.393086668
-0.296093415,-0.632335299,-0.613980291,-0.62750459,-0.253216803
-0.161961343,-0.667249568,-0.580568772,-0.669875376,-0.369858413
-0.120143717,-0.534364671,-0.059377843,-0.572570979,-0.37802056
1.042595314,-0.471144658,0.125106827,-0.211045569,0.359384761
